,x,y,z
-1.269614,-0.03207396,-0.01099683,-0.9715176
-1.247552,-0.03257979,-0.01170174,-0.9665683
-1.234729,-0.02841303,-0.01434788,-0.9600238
-1.218002,-0.0248713,-0.01659709,-0.9544609
-1.196099,-0.02415421,-0.01768801,-0.9358761
-1.182353,-0.0249279,-0.0181064,-0.9151213
-1.165508,-0.02616995,-0.01824078,-0.892037
-1.143975,-0.02548619,-0.01859533,-0.8687509
-1.130668,-0.02613103,-0.02046073,-0.841336
-1.11401,-0.02415535,-0.02514003,-0.8146586
-1.092251,-0.02148725,-0.03120027,-0.7929818
-1.07835,-0.01069733,-0.04092834,-0.7807453
-1.061679,-0.005101028,-0.0527052,-0.7633955
-1.039694,-0.0002564372,-0.0660366,-0.7541513
-1.026804,0.003314438,-0.07905287,-0.7441246
-1.009267,0.01010716,-0.09977475,-0.7622712
-0.9880562,0.02118493,-0.1229067,-0.7858388
-0.974607,0.02658187,-0.1485777,-0.831126
-0.9578519,0.02882856,-0.1698481,-0.8828998
-0.935976,0.03029499,-0.1747473,-0.9306872
-0.9227762,0.03221971,-0.1752785,-0.9845244
-0.9059677,0.03731641,-0.1673179,-1.063121
-0.8841152,0.04342167,-0.1646758,-1.170288
-0.8703222,0.04677171,-0.144697,-1.29087
-0.8536682,0.04961924,-0.1277151,-1.393363
-0.8318968,0.04542647,-0.09013284,-1.458877
-0.8187199,0.04186262,-0.05818792,-1.514563
-0.801888,0.02449467,-0.009157459,-1.49321
-0.7800021,0.00973191,0.03251844,-1.47506
-0.7665129,-0.003706791,0.0692842,-1.413227
-0.749815,-0.01512969,0.1005351,-1.360669
-0.7277479,-0.01534436,0.1252666,-1.284359
-0.714478,-0.01940486,0.1452141,-1.20963
-0.697782,-0.01900802,0.160491,-1.129164
-0.675941,-0.01758428,0.1707122,-1.062946
-0.6630321,-0.01679219,0.1722073,-0.991295
-0.6462708,-0.014075,0.1684572,-0.9258375
-0.6244731,-0.01539774,0.1636385,-0.8629515
-0.6105471,-0.01699891,0.1589742,-0.8097539
-0.5938492,-0.02286734,0.1508354,-0.7542745
-0.5718341,-0.02758849,0.1442914,-0.7071741
-0.55867,-0.03045705,0.1377828,-0.6647394
-0.5419397,-0.03137174,0.1337299,-0.6351808
-0.520215,-0.03282748,0.1307832,-0.6174832
-0.5068312,-0.03424415,0.1284059,-0.6072872
-0.4901929,-0.03707109,0.1293987,-0.6126731
-0.4678698,-0.0382983,0.1319494,-0.6182988
-0.4546928,-0.03340118,0.1445773,-0.6512017
-0.4378128,-0.02619603,0.152257,-0.7447072
-0.4161601,-0.02300286,0.161787,-0.8568773
-0.4024038,-0.01524869,0.1596518,-0.9876726
-0.385778,-0.008729362,0.16082,-1.109291
-0.3637371,-0.004746618,0.1544666,-1.217273
-0.3507042,0.001110638,0.1421701,-1.324165
-0.333878,0.004878522,0.1185199,-1.398855
-0.312151,0.008081224,0.09841722,-1.46234
-0.298553,0.01373855,0.06621079,-1.479038
-0.2819901,0.01854727,0.03883532,-1.49323
-0.259841,0.02352428,0.001095509,-1.476439
-0.246737,0.02782034,-0.03417853,-1.448525
-0.230072,0.02876128,-0.06618096,-1.399274
-0.207716,0.03005622,-0.09428634,-1.35019
-0.1946497,0.03006897,-0.1131497,-1.276327
-0.177844,0.02627273,-0.1294269,-1.19763
-0.1573858,0.02352811,-0.1436783,-1.120287
-0.1429577,0.02087169,-0.1555151,-1.047251
-0.1257811,0.01878846,-0.1583735,-0.9755141
-0.10432,0.01570011,-0.1586073,-0.9082589
-0.09049082,0.01453223,-0.1561167,-0.8563812
-0.07377386,0.01374628,-0.1503239,-0.812737
-0.05187702,0.01523964,-0.1425672,-0.7822946
-0.03849316,0.01689351,-0.1339201,-0.7664008
-0.02184391,0.0180216,-0.126886,-0.7561839
0,0.01655127,-0.1214258,-0.762801
