,x,y,z
0,-0.0722826,-0.009696097,-0.9597055
0,-0.06794961,-0.00826686,-0.9458118
0,-0.06238287,-0.01369645,-0.9566844
0,-0.05765114,-0.0183116,-0.965926
0,-0.05898501,-0.01151365,-0.9643515
0,-0.06011879,-0.005735394,-0.9630131
0,-0.0608605,-0.009475609,-0.9545971
0,-0.06149095,-0.01265479,-0.9474435
0,-0.06450333,-0.0175681,-0.9337068
0,-0.06706386,-0.02174441,-0.9220306
0,-0.06661503,-0.02791039,-0.8890964
0,-0.06941728,-0.03967003,-0.8399422
0,-0.07179918,-0.04966572,-0.7981611
0,-0.07093303,-0.05668806,-0.7494453
0,-0.07019679,-0.06265705,-0.7080368
0,-0.06383979,-0.06396101,-0.6669322
0,-0.05843634,-0.06506937,-0.6319932
0,-0.05233965,-0.07233549,-0.6483599
0,-0.04715747,-0.07851169,-0.6622716
0,-0.03073174,-0.09093232,-0.7285451
0,-0.01676986,-0.1014899,-0.7848777
0,0.01862678,-0.1283234,-0.9994504
0,0.04871393,-0.151132,-1.181837
0,0.03618147,-0.1809059,-1.333177
0,0.02552888,-0.2062137,-1.461815
0,0.007673669,-0.2068948,-1.518851
0,-0.00750326,-0.2074737,-1.567332
0,-0.03442037,-0.1852173,-1.532451
0,-0.05364926,-0.148165,-1.485222
0,-0.06999381,-0.1166705,-1.445077
0,-0.07169872,-0.0837227,-1.394514
0,-0.07314789,-0.05571706,-1.351535
0,-0.05862346,-0.02165607,-1.288837
0,-0.0462777,0.007295774,-1.235543
0,-0.03981441,0.03205361,-1.157024
0,-0.03432061,0.05309778,-1.090283
0,-0.03605958,0.0682044,-1.015421
0,-0.0375377,0.08104503,-0.9517879
0,-0.04476792,0.08903445,-0.8674899
0,-0.0509136,0.09582546,-0.7958366
0,-0.0559612,0.1012957,-0.7268746
0,-0.06025165,0.1059454,-0.6682569
0,-0.05922935,0.11204,-0.6213776
0,-0.05836039,0.1172204,-0.5815302
0,-0.05466691,0.1182569,-0.5613378
0,-0.05674596,0.1266452,-0.546232
0,-0.05851315,0.1337753,-0.5333921
0,-0.07134034,0.1639577,-0.5460896
0,-0.08224344,0.1896128,-0.5568825
0,-0.06094392,0.2075858,-0.6934864
0,-0.04283932,0.2228629,-0.8095998
0,-0.02114242,0.2072702,-0.992385
0,-0.002700062,0.1940165,-1.147753
0,0.01412264,0.1661408,-1.283012
0,0.02842194,0.1424465,-1.397983
0,0.02381533,0.08444242,-1.492802
0,0.01989971,0.03513895,-1.573397
0,0.0189724,-0.02114737,-1.607425
0,0.01818419,-0.06899074,-1.636348
0,0.01337373,-0.1376567,-1.57946
0,0.00928485,-0.1960228,-1.531106
0,0.00663785,-0.2420405,-1.42402
0,0.0043879,-0.2811556,-1.332997
0,-0.01462203,-0.312435,-1.230949
0,-0.03078047,-0.3390225,-1.144209
0,-0.03797371,-0.348491,-1.079825
0,-0.04408795,-0.3565392,-1.025098
0,-0.0408439,-0.3367085,-0.9757654
0,-0.03808646,-0.3198525,-0.9338325
0,-0.03160902,-0.2986103,-0.9006615
0,-0.01860046,-0.2656291,-0.8902525
0,-0.007543178,-0.237595,-0.8814049
0,0.001844067,-0.2007358,-0.8720489
0,0.009823225,-0.1694055,-0.8640962
0,0.01277403,-0.143141,-0.8527015
0,0.01528221,-0.1208161,-0.8430161
0,0.01451194,-0.1070699,-0.8514392
0,0.01385722,-0.09538563,-0.8585988
0,0.01005058,-0.07870428,-0.8607981
0,0.006814932,-0.06452514,-0.8626675
