,x,y,z
-1.28302,-0.01508311,-0.01545488,-0.9795431
-1.260958,-0.01605131,-0.01727941,-0.9761698
-1.248135,-0.01180455,-0.01723152,-0.9692971
-1.231408,-0.008194799,-0.01719081,-0.9634552
-1.209505,-0.007663668,-0.01770667,-0.9492543
-1.195759,-0.007212208,-0.01814516,-0.9371835
-1.178914,-0.007705084,-0.01818598,-0.9187591
-1.157381,-0.008124029,-0.01822069,-0.9030983
-1.144073,-0.0103192,-0.02059623,-0.8783541
-1.127416,-0.01180973,-0.0253151,-0.8534728
-1.105657,-0.01159352,-0.03245038,-0.8338217
-1.091756,-0.001764663,-0.04316739,-0.8205664
-1.075085,0.001227163,-0.05753884,-0.7988762
-1.0531,0.003248365,-0.07136361,-0.7837673
-1.04021,0.004145845,-0.08564153,-0.7676713
-1.022673,0.003564022,-0.09696065,-0.7519103
-1.001462,0.01102541,-0.1148594,-0.7507278
-0.9880128,0.01361392,-0.1317865,-0.7601253
-0.9712577,0.01230311,-0.1453495,-0.7880327
-0.9493818,0.02236179,-0.1547357,-0.8310018
-0.936182,0.03192905,-0.1572642,-0.8873525
-0.9193735,0.04350932,-0.1546482,-0.9529419
-0.897521,0.05601216,-0.1586112,-1.069234
-0.883728,0.06142221,-0.1374917,-1.196264
-0.867074,0.06602076,-0.1195402,-1.30424
-0.8453026,0.06252062,-0.08584492,-1.382903
-0.8321257,0.05954549,-0.05720394,-1.449766
-0.8152938,0.04121235,-0.009721449,-1.453675
-0.7934079,0.02562918,0.03063867,-1.456997
-0.7799187,0.01038305,0.07203782,-1.40084
-0.7632208,-0.002576157,0.1072271,-1.353107
-0.7411537,-0.006511021,0.1360245,-1.283944
-0.7278838,-0.009855662,0.1605023,-1.225156
-0.7111878,-0.006926201,0.1787907,-1.149766
-0.6893468,-0.004436161,0.1943358,-1.085685
-0.6764379,-0.002946762,0.1967597,-1.008166
-0.6596766,-0.001538867,0.1966742,-0.933897
-0.6378789,-0.001663947,0.1932714,-0.8657466
-0.6239529,-0.002485523,0.1895263,-0.8082022
-0.607255,-0.008427544,0.1810925,-0.749372
-0.5852399,-0.01307772,0.1744845,-0.699452
-0.5720758,-0.01684955,0.1683573,-0.6585732
-0.5553455,-0.01777023,0.1653682,-0.6335924
-0.5336208,-0.01931955,0.1616567,-0.6224651
-0.520237,-0.02090541,0.1586931,-0.6202773
-0.5035987,-0.02323072,0.1571662,-0.6339324
-0.4812756,-0.0234437,0.1584284,-0.6471106
-0.4680986,-0.0203357,0.1687813,-0.6698362
-0.4512186,-0.01313,0.1730001,-0.78746
-0.4295659,-0.007005147,0.1765862,-0.8874402
-0.4158096,0.005760942,0.1642809,-1.025599
-0.3991838,0.01661212,0.1538214,-1.143035
-0.3771429,0.02349759,0.1339114,-1.249764
-0.36411,0.02935024,0.1169878,-1.340484
-0.3472838,0.03233716,0.08771175,-1.390706
-0.3255568,0.03487603,0.06282708,-1.433395
-0.3119588,0.03745179,0.02540963,-1.445808
-0.2953959,0.03964118,-0.00639521,-1.456358
-0.2732468,0.04349687,-0.04334334,-1.448395
-0.2601428,0.04687262,-0.07954203,-1.421165
-0.2434778,0.04555806,-0.1114073,-1.37644
-0.2211218,0.0451834,-0.1398477,-1.327594
-0.2080555,0.0487605,-0.1537899,-1.278116
-0.1912498,0.04609044,-0.1660058,-1.212188
-0.1707916,0.04146913,-0.1750081,-1.14598
-0.1563635,0.03705578,-0.1822446,-1.07876
-0.1391869,0.03259032,-0.1801284,-1.001257
-0.1177258,0.02681829,-0.175036,-0.9259607
-0.1038966,0.02417456,-0.1703241,-0.8686378
-0.08717966,0.02223752,-0.1608053,-0.8205909
-0.06528282,0.02197349,-0.151334,-0.7817674
-0.05189896,0.02232584,-0.1402028,-0.7637409
-0.03524971,0.02262534,-0.1307412,-0.7484185
-0.0134058,0.01923612,-0.1234771,-0.7583466
0,0.01635528,-0.1173025,-0.7667854
