,x,y,z
-1.24777,-0.04227395,-0.005521349,-0.9669704
-1.225708,-0.040608,-0.007637025,-0.9658577
-1.212885,-0.03616016,-0.01015541,-0.9607462
-1.196158,-0.03345068,-0.01015188,-0.9545155
-1.174255,-0.03314255,-0.01002802,-0.9382815
-1.160509,-0.03366616,-0.01134776,-0.9200525
-1.143664,-0.03500434,-0.01229742,-0.8953819
-1.122131,-0.03559338,-0.01369103,-0.8706821
-1.108824,-0.03586701,-0.01853176,-0.8448175
-1.092166,-0.03406026,-0.02502583,-0.8162059
-1.070407,-0.03171337,-0.0360385,-0.7909561
-1.056506,-0.02460529,-0.04814539,-0.773207
-1.039835,-0.01727757,-0.0610368,-0.7528185
-1.01785,-0.01099636,-0.07398715,-0.7387901
-1.00496,-0.007600079,-0.08514143,-0.7280309
-0.9874229,-0.002458755,-0.1004174,-0.7348872
-0.9662123,0.004313258,-0.1181092,-0.7586023
-0.9527631,0.009414407,-0.1336035,-0.8041435
-0.936008,0.01475014,-0.1478779,-0.861711
-0.9141321,0.025187,-0.1566749,-0.9440442
-0.9009323,0.0391711,-0.1655444,-1.055296
-0.8841238,0.05154189,-0.1685114,-1.18029
-0.8622713,0.05549961,-0.1755853,-1.310013
-0.8484783,0.05106062,-0.1626499,-1.413207
-0.8318243,0.04552739,-0.1474887,-1.490461
-0.8100529,0.03348298,-0.1162646,-1.519599
-0.796876,0.02044188,-0.08517442,-1.529149
-0.7800441,0.005430258,-0.04236576,-1.49323
-0.7581582,-0.007329621,-0.005978391,-1.4627
-0.744669,-0.0170009,0.02806641,-1.395384
-0.7279711,-0.02522149,0.0570045,-1.338165
-0.705904,-0.02376783,0.0825,-1.257688
-0.6926341,-0.02485903,0.1035266,-1.183362
-0.6759381,-0.02309215,0.1202352,-1.101138
-0.6540971,-0.02093844,0.132779,-1.032554
-0.6411881,-0.01970381,0.138789,-0.9645807
-0.6244268,-0.01742802,0.1408849,-0.9040713
-0.6026292,-0.02010282,0.1412076,-0.8416168
-0.5887032,-0.0226625,0.1411408,-0.7886838
-0.5720053,-0.02910779,0.1374182,-0.7347745
-0.5499902,-0.03281337,0.1350589,-0.6893959
-0.5368261,-0.03434263,0.1329142,-0.6499737
-0.5200958,-0.03472835,0.1319788,-0.6203713
-0.4983711,-0.03411779,0.1310062,-0.6040052
-0.4849873,-0.03486957,0.1318992,-0.5955185
-0.468349,-0.03648224,0.1344665,-0.5967365
-0.4460258,-0.04065361,0.1465423,-0.602466
-0.4328489,-0.04063513,0.1630827,-0.6242088
-0.4159689,-0.03282783,0.1768426,-0.7111965
-0.3943162,-0.02795035,0.1903399,-0.8047501
-0.3805599,-0.01675538,0.1854663,-0.9539878
-0.363934,-0.007282695,0.1831136,-1.087105
-0.3418932,0.001930437,0.1660827,-1.21121
-0.3288603,0.01124475,0.1474686,-1.325765
-0.3120341,0.0160061,0.1156053,-1.412575
-0.290307,0.02005325,0.08852147,-1.486364
-0.2767091,0.02240476,0.04878908,-1.517614
-0.2601461,0.02440354,0.01501656,-1.544176
-0.2379971,0.02568503,-0.03480352,-1.521971
-0.2248931,0.02681366,-0.07906771,-1.494913
-0.2082281,0.02584627,-0.1167797,-1.436953
-0.1858721,0.02532108,-0.1493769,-1.383354
-0.1728058,0.0181524,-0.1700267,-1.296705
-0.1560001,0.009774785,-0.187725,-1.213504
-0.1355419,0.005532688,-0.1984533,-1.129914
-0.1211138,0.001732812,-0.2074062,-1.054484
-0.1039371,0.001692618,-0.2037515,-0.9830454
-0.08247614,0.001490453,-0.1980394,-0.9175119
-0.06864691,0.003019661,-0.1901876,-0.8654764
-0.05192995,0.005225404,-0.1786548,-0.8308877
-0.03003311,0.008397129,-0.1671523,-0.8054803
-0.01664925,0.01346477,-0.1494618,-0.7906837
0,0.01760564,-0.1346144,-0.7800823
