,x,y,z
0,-0.04978602,0.012644,-1.007289
0,-0.05047318,0.01055514,-1.002895
0,-0.05397093,-0.005152427,-0.9840311
0,-0.05694402,-0.01850386,-0.967997
0,-0.05840455,-0.01684751,-0.9549561
0,-0.05964601,-0.01543962,-0.9438714
0,-0.06987941,-0.009935352,-0.8999363
0,-0.07857779,-0.005256725,-0.8625914
0,-0.08152883,-0.002424302,-0.8045727
0,-0.08403721,-1.674145E-05,-0.7552568
0,-0.07793874,-0.002479288,-0.7033361
0,-0.07275505,-0.004572452,-0.6592035
0,-0.06361105,-0.02304628,-0.6293972
0,-0.0424811,-0.04221889,-0.640596
0,-0.02452065,-0.0585156,-0.650115
0,0.001262855,-0.06069941,-0.6933967
0,0.02317883,-0.06255566,-0.7301861
0,0.03472124,-0.09285127,-0.9420724
0,0.0632365,-0.1403921,-1.173141
0,0.08747448,-0.1808018,-1.369549
0,0.09288587,-0.191978,-1.488559
0,0.09748556,-0.2014778,-1.589718
0,0.06464602,-0.1797133,-1.5526
0,0.03673241,-0.1612135,-1.521051
0,-0.002594739,-0.1287689,-1.464406
0,-0.03602282,-0.1011909,-1.416258
0,-0.06450307,-0.07224961,-1.37316
0,-0.0549924,-0.03876889,-1.316739
0,-0.04690834,-0.01031028,-1.268782
0,-0.04477016,0.01972061,-1.197664
0,-0.04295271,0.04524686,-1.137214
0,-0.0421609,0.061966,-1.073845
0,-0.04148786,0.07617727,-1.019981
0,-0.04975061,0.09282762,-0.938015
0,-0.05677395,0.1069804,-0.8683439
0,-0.07017559,0.12194,-0.7834522
0,-0.08156697,0.1346556,-0.7112941
0,-0.08502407,0.1426097,-0.6506442
0,-0.07945506,0.1531152,-0.593166
0,-0.07472141,0.1620449,-0.5443095
0,-0.06753008,0.1746523,-0.5427831
0,-0.06141745,0.1853685,-0.5414858
0,-0.04907373,0.196702,-0.5867591
0,-0.03858157,0.2063355,-0.6252414
0,-0.02563491,0.2106971,-0.7630951
0,-0.01463025,0.2144044,-0.8802707
0,-0.001897991,0.1847065,-1.056342
0,0.008924428,0.1594633,-1.206002
0,0.02214265,0.1288696,-1.320799
0,0.01903869,0.08507173,-1.369544
0,0.01640033,0.0478435,-1.410978
0,0.01601624,-0.002255235,-1.420124
0,0.01568976,-0.04483916,-1.427899
0,0.01658642,-0.1107901,-1.434118
0,0.00784998,-0.1751454,-1.415846
0,0.0004240088,-0.2298474,-1.400314
0,-0.007446752,-0.2657126,-1.36009
0,-0.0141369,-0.296198,-1.3259
0,0.001936273,-0.2860937,-1.257762
0,0.01559847,-0.277505,-1.199844
