,x,y,z
0,-0.02381027,-0.006836277,-0.9849791
0,-0.02398781,-0.0108325,-0.9863945
0,-0.01678475,-0.01013002,-0.980809
0,-0.01066215,-0.009532913,-0.9760614
0,-0.0107268,-0.009673106,-0.9558325
0,-0.01078175,-0.00979227,-0.9386379
0,-0.01243521,-0.008410405,-0.9137869
0,-0.01384065,-0.00723582,-0.8926636
0,-0.009642819,-0.007475673,-0.8693736
0,-0.006074662,-0.007679548,-0.849577
0,-7.54199E-05,-0.01410132,-0.8357459
0,0.005023936,-0.01955982,-0.8239896
0,-0.001367014,-0.03472354,-0.7931501
0,-0.006799322,-0.04761269,-0.7669366
0,-0.01305787,-0.06362219,-0.738148
0,-0.01837763,-0.07723026,-0.7136776
0,-0.006987562,-0.1053521,-0.7173064
0,0.002693995,-0.1292557,-0.7203909
0,0.003901224,-0.1479236,-0.7628518
0,0.004927369,-0.1637912,-0.7989436
0,0.007834352,-0.1663794,-0.8692755
0,0.01030529,-0.1685793,-0.9290575
0,0.0177248,-0.1828226,-1.100955
0,0.01738007,-0.1588279,-1.230809
0,0.01708706,-0.1384324,-1.341184
0,0.004544753,-0.1033738,-1.404132
0,-0.006116208,-0.07357409,-1.457637
0,-0.03713695,-0.01480696,-1.424434
0,-0.06350458,0.03514511,-1.396211
0,-0.07703645,0.08620117,-1.332678
0,-0.08853854,0.1295988,-1.278675
0,-0.08465794,0.1662511,-1.222356
0,-0.08135943,0.1974055,-1.174484
0,-0.07136881,0.2201079,-1.099702
0,-0.06287678,0.239405,-1.036137
0,-0.04791319,0.2424019,-0.9654461
0,-0.03519414,0.2449492,-0.905359
0,-0.02702653,0.240454,-0.8442416
0,-0.02008406,0.2366331,-0.7922919
0,-0.02467033,0.2228842,-0.7282997
0,-0.02856866,0.2111976,-0.6739063
0,-0.0315206,0.2002432,-0.6307778
0,-0.03402976,0.190932,-0.5941187
0,-0.03769605,0.180676,-0.5831709
0,-0.0408124,0.1719584,-0.5738653
0,-0.04541594,0.1665328,-0.596985
0,-0.04932895,0.1619211,-0.6166368
0,-0.04607695,0.1765612,-0.6563892
0,-0.03663855,0.1756248,-0.8212869
0,-0.02861591,0.1748289,-0.9614499
0,-0.01033656,0.1453338,-1.136779
0,0.005200894,0.120263,-1.285809
0,0.01447554,0.0888706,-1.372981
0,0.02235899,0.06218705,-1.447078
0,0.02366746,0.03359858,-1.462677
0,0.02477967,0.00929839,-1.475936
0,0.03127085,-0.04085736,-1.461425
0,0.03678835,-0.08348975,-1.449091
0,0.03835399,-0.1245979,-1.424254
0,0.03968479,-0.1595398,-1.403142
0,0.03244805,-0.1914331,-1.342039
0,0.02629681,-0.2185424,-1.290101
0,0.0288594,-0.221121,-1.230038
0,0.0310376,-0.2233128,-1.178984
0,0.02818555,-0.2224133,-1.115248
0,0.02576131,-0.2216486,-1.061072
0,0.02227248,-0.2044643,-0.9742903
0,0.01930697,-0.1898576,-0.9005261
0,0.02131129,-0.1766751,-0.8511841
0,0.02301496,-0.16547,-0.8092433
0,0.02722796,-0.1531854,-0.7776266
0,0.02855454,-0.138207,-0.7664858
0,0.02968212,-0.1254754,-0.757016
0,0.01909119,-0.1204396,-0.7727681
0,0.0100889,-0.1161592,-0.7861575
