,x,y,z
0,-0.06605566,-0.002080755,-0.9554665
0,-0.06563675,-0.0005464125,-0.9473653
0,-0.06163001,-0.008580601,-0.9414773
0,-0.05822428,-0.01540966,-0.9364725
0,-0.0571353,-0.01765067,-0.9091196
0,-0.06035928,-0.01802889,-0.870997
0,-0.06309967,-0.01835038,-0.8385927
0,-0.0602105,-0.01934462,-0.8000559
0,-0.0577547,-0.02018972,-0.7672995
0,-0.04884659,-0.0247899,-0.7370305
0,-0.0412747,-0.02870004,-0.7113018
0,-0.02856265,-0.03645024,-0.7011032
0,-0.01775741,-0.04303791,-0.6924343
0,-0.007266042,-0.05538258,-0.694919
0,0.001651623,-0.06587555,-0.6970311
0,0.02319343,-0.1054029,-0.7829931
0,0.04150397,-0.1390012,-0.8560609
0,0.05251775,-0.1821602,-0.9731275
0,0.06187947,-0.2188452,-1.072634
0,0.04616139,-0.2147706,-1.130058
0,0.03280103,-0.2113071,-1.178868
0,0.02493059,-0.1926573,-1.283478
0,0.01824071,-0.176805,-1.372396
0,0.0174707,-0.1591077,-1.48008
0,0.01681619,-0.1440649,-1.571611
0,0.01123819,-0.09870868,-1.610825
0,0.006496891,-0.06015589,-1.644157
0,-0.008940686,-0.00802948,-1.57228
0,-0.02206263,0.03627797,-1.511185
0,-0.03188647,0.06377696,-1.438
0,-0.04023674,0.08715109,-1.375793
0,-0.03301105,0.1037507,-1.28519
0,-0.03850327,0.1146377,-1.178579
0,-0.04317166,0.1238916,-1.087959
0,-0.04388051,0.1234651,-1.017469
0,-0.04448304,0.1231025,-0.957553
0,-0.03914726,0.1120231,-0.9097186
0,-0.04286532,0.1043727,-0.8573612
0,-0.04602567,0.09786975,-0.8128574
0,-0.05174694,0.09032125,-0.7640795
0,-0.05661003,0.08390502,-0.7226182
0,-0.05767205,0.0766339,-0.6770718
0,-0.05857478,0.07045345,-0.6383574
0,-0.05984334,0.06903613,-0.6075193
0,-0.06092162,0.06783141,-0.5813069
0,-0.06475182,0.07386383,-0.5701545
0,-0.06800749,0.07899138,-0.5606751
0,-0.05953214,0.09616947,-0.6139327
0,-0.05232809,0.1107709,-0.6592016
0,-0.05499829,0.1321885,-0.7957516
0,-0.05726796,0.1503935,-0.911819
0,-0.05941232,0.1748171,-1.041803
0,-0.06123503,0.1955771,-1.15229
0,-0.05536857,0.1925345,-1.291529
0,-0.05003874,0.1801361,-1.415151
0,-0.0455084,0.1695975,-1.52023
0,-0.03368793,0.1478131,-1.545497
0,-0.02364054,0.1292964,-1.566974
0,-0.01642091,0.0899732,-1.532527
0,-0.01028422,0.05654848,-1.503247
0,-0.004832285,0.02427165,-1.444942
0,-0.0001981398,-0.003163649,-1.395383
0,-0.00731411,-0.03186925,-1.272751
0,-0.01336269,-0.05626901,-1.168513
0,-0.01235392,-0.08101882,-1.068902
0,-0.01149647,-0.1020562,-0.9842332
0,-0.008815271,-0.1148636,-0.9240288
0,-0.006536254,-0.1257499,-0.8728551
0,-0.004752441,-0.1277019,-0.8318683
0,-0.0032362,-0.1293612,-0.7970295
0,0.001771935,-0.1250334,-0.783349
0,0.006028851,-0.1213549,-0.7717205
0,0.008814098,-0.1191757,-0.7717149
0,0.01118156,-0.1173233,-0.77171
